SUN2017,WIND2017
786.69,445.6
916.3,444.96
1016.77,451.11
1064.91,478.46
1186.67,484.12
1370.58,502.02
1488.88,550.37
1625.96,576.73
1708.99,612.77
1811.7,666.31
1869.13,697.4
1912.86,639.89
1936.18,577.01
1882.44,579.29
1774.95,602.68
1713.23,604.51
1610.75,593.21
1565.25,613.29
1536.45,606.25
1550.18,554.09
1532.82,554.59
1461.93,529.25
1461.1,560.42
1430.71,601.21
1538.95,553.35
1581.33,553.98
1526.66,586.64
1497.89,589.54
1450.73,596
1438,614.12
1330.01,645.66
1239.01,688.91
1232.55,695.38
1152.28,742.25
1077.04,813.34
999.65,821.69
922.63,777.99
807.35,689.62
728.59,594.21
679.56,520.09
584.26,496.78
471.66,453.12
432.21,403.73
357.11,359.96
253.78,344.96
201.57,333.61
138.83,312.18
98.49,326.34
67.26,315.72
38.45,280.21
18.4,288.33
4.16,302.15
0.07,325.76
0,380.93
0,442.93
0,480.7
0,556.53
0,646.09
0,783.11
0,853.77
0,956.42
0,1033.18
0,1275.25
0,1331.11
0,1300.57
0,1178.3
0,985.53
0,879.14
0,947.49
0,1059.64
0,1222.21
0,1220.08
0,1233.28
0,1180.69
0,1232.95
0,1286.07
0,1215.72
0,1229.77
0,1261.37
0,1289.36
0,1299.07
0,1297.71
0,1356.52
0,1453.65
0.51,1553.61
3.44,1558.41
11.21,1646.91
25.29,1645.29
38.44,1616.33
46.42,1625.86
63,1611.33
85.01,1626.29
127.84,1614.97
175.97,1574.18
210.66,1573.64
307.43,1581.29
359.06,1634.6
364.56,1659.66
411.31,1624.79
478.32,1686.95
531.87,1739.13
682.33,1771.72
808.42,1754.72
973.35,1763.38
1067.62,1780.51
1063.59,1787.24
1069.82,1765.39
1131.96,1708.73
1241.91,1399.48
1276.66,1247.1
1201.42,1377.2
1212.41,1350.15
1212.84,1489.69
1343.96,1788.03
1441.54,1790.96
1383.09,1684.56
1451.92,1569.07
1622.11,1580.23
1606.38,1551.63
1553.49,1565.71
1512.95,1612.12
1451.15,1702.81
1409.83,1796.6
1464.78,1846.02
1455.62,1856.15
1466.94,1740.66
1334.42,1774.98
1211.18,1778.7
1195.82,1787.07
1193.86,1848.36
1137.19,1704.35
991.61,1674.22
933.45,1787.9
804.44,1780.89
767.93,1765.6
698.9,1730.87
593.67,1716.32
499.95,1743.87
416.19,1705.66
348.23,1723.09
268.64,1669.2
229.27,1663.05
179.34,1626.41
128.64,1629.59
86.14,1601.66
52.56,1506.99
24.3,1585.93
6.96,1596.62
0.56,1614.01
0,1620.81
0,1595.32
0,1553.86
0,1594.49
0,1634.09
0,1681.65
0,1685.42
0,1697.02
0,1693.4
0,1656.15
0,1679.12
0,1673.26
0,1703.56
0,1684.34
0,1689.24
0,1723.54
0,1723.4
0,1736.79
0,1752.96
0,1740.35
0,1734
0,1753.64
0,1750.22
0,1742.83
0,1755.78
0,1742.93
0,1745.01
0,1751.98
0,1749.63
0,1742.34
0,1718.42
10.28,1716.92
32.21,1706.96
61.75,1700.65
97.44,1709
146.34,1684.45
192.89,1706.28
251.27,1691.76
316.06,1674.1
377.58,1675.64
467.24,1669.44
534.24,1659.8
614.76,1681.04
695.85,1693.7
765.85,1680.16
833.65,1678.73
861.58,1674.71
851.98,1691.98
859.41,1669.24
880.51,1650.8
899.4,1659.13
984.14,1671.62
990.96,1636.09
1017.53,1609.58
1087.16,1619.62
1081.26,1635.9
1153.07,1634.99
1246.1,1680.11
1315.13,1713.79
1413.54,1718.83
1407.72,1703.09
1431.14,1697.46
1379.07,1700.25
1381.76,1722.92
1282.12,1738.9
1266.53,1679.65
1426.47,1704.08
1457.77,1698.01
1428.61,1683.15
1398.05,1695.79
1420.79,1709.73
1341.82,1733.34
1371.52,1691.89
1398.12,1691.26
1401.42,1710.33
1327.98,1743.17
1245.26,1738.5
1217.42,1728.27
1165.99,1728.86
1065.18,1746.53
988.92,1735.64
870.33,1676.57
821.64,1663.84
686.43,1625
623.19,1605.71
539.61,1607.33
441.56,1594.81
329.87,1535.65
238.78,1540.34
177.52,1486.64
122.69,1459.79
77.18,1408.29
48.96,1350.15
21.29,1347.91
5.25,1319.04
0.22,1300.82
0,1307.45
0,1342.3
0,1347
0,1346.99
0,1321.69
0,1309.11
0,1307.16
0,1307.3
0,1310.39
0,1295.07
0,1309.02
0,1291.79
0,1273.46
0,1261.43
0,1248.11
0,1201.8
0,1120.59
0,1025.24
0,999.21
0,975.29
0,979.18
0,959.55
0,931.51
0,910.74
0,911.01
0,915.46
0,936.11
0,925.44
0,910.35
0,941.37
0,946.22
10.6,960.82
33.34,991.43
57.92,941.63
102.25,937.65
143.04,935.39
178.32,948.78
236.49,950.03
295.64,965.87
365.81,916.43
459.64,690.27
532.17,699.45
600.87,779.65
662.46,787.27
738,805.35
827.93,813.8
922.4,805.93
950.95,838.57
1007.64,924.09
1092.69,923.06
1148.56,1003.57
1227.3,1054.78
1315.64,1079.41
1499.78,1130.37
1654.36,1074.84
1703.04,1070.76
1743.22,1090.68
1861.93,1068.98
1936.45,1018.35
1998.61,988.68
2062.99,1039.6
2105.28,1040.52
2055.89,1050.12
1983.47,1127.22
1912.48,1140.88
1916.75,1137.18
1823.49,1064.37
1770.4,1108.59
1643.81,1059.91
1534.04,1020.27
1498.23,1134.57
1415.6,1188.53
1335.43,1163.37
1283.04,1193.83
1323.37,1174.42
1255.77,1106.91
1196.55,1137.5
1144.98,1151.09
1082.17,1136.27
1079.11,1170.3
953.66,1182.44
829.2,1278.91
732.14,1300.36
674.36,1216.75
533.34,1005.28
470.65,849.98
379.22,883.52
273.67,937.53
229.1,977.03
169.94,915.82
123.75,794.15
95.14,671.02
50.05,582.49
22.59,475.85
8.02,378.01
0.79,357.54
0,312.09
0,303.94
0,323.76
0,336.22
0,335.2
0,344.02
0,340.92
0,355.17
0,359.82
0,361.72
0,370.1
0,371.22
0,421.13
0,532.88
0,603.58
0,736.7
0,843.07
0,901.46
0,828.94
0,796.12
0,809.15
0,877.26
0,656.58
0,300.07
0,203.25
0,150.86
0,101.71
0,189.92
0,378.83
0,443.78
0.04,472.18
1.44,467.92
4.06,578.09
8.14,655.44
10.91,589.9
14.6,433.76
20.21,370.01
26.06,383.7
38.55,377.92
57.58,445.26
75.3,498.73
93.58,540.9
107.1,596.19
118.32,606.59
149.99,598.41
240.5,603.51
307.2,682.9
377.12,728.71
514.53,788.06
609.32,800.73
743.15,804.09
839.72,770.32
987.56,845.85
1109.56,846.93
1266.83,801.74
1413.88,763.95
1622.35,710.73
1592.72,668.78
1678.37,723.53
1789.9,911.42
1804.34,1098.37
1724.43,1202.13
1689.76,1144.47
1779.41,1123.04
1792.02,1124.23
1774.41,1233.82
1736.27,1269.2
1726.31,1322.18
1597.62,1304.69
1588.55,1327.08
1617.79,1327.45
1570.65,1297.87
1478.4,1281.83
1460.48,1335.67
1400.82,1302.68
1388.95,1312.32
1343.02,1303
1230.79,1267.27
1155.66,1284.15
1076.3,1237.34
1040.75,1216.15
912.46,1161.88
796.74,1128.65
709.45,1136.62
611.63,1127.42
531.45,1134.67
437.67,1123
348.8,1152.8
265.48,1136.12
199.93,1118.93
140.68,1045.37
92.04,979.11
56.77,931.47
30.74,899.72
11.6,861.18
1.39,835.09
0,817.53
0,790.15
0,752.74
0,712.45
0,692.66
0,652.93
0,658.34
0,662.58
0,656.97
0,624.49
0,600.75
0,575.13
0,558.66
0,521.83
0,511.07
0,490.37
0,476.1
0,483.6
0,480.9
0,446.6
0,442.88
0,445.81
0,440.72
0,433.61
0,458.38
0,485.24
0,484.71
0,459.17
0,434.44
0,453.71
0.32,459.57
26.14,422.03
57.93,380.87
98.67,347.74
151.11,303.52
204.38,294.47
263.42,322.33
358.13,326.81
461.37,299.31
544.53,277.66
661.03,274.09
765.49,277.6
848.22,314.07
915.64,294.38
1019.14,256.42
1137.44,216.97
1202.08,198.88
1261.36,195.71
1338.14,216.21
1390.5,220.76
1418.13,215.7
1558.03,198.58
1661.25,205.23
1733.13,219.2
1809.19,212.83
1880.61,217.96
1876.98,234.18
1897.5,239.95
1960.06,244.63
1976.64,238.35
1996.55,229.22
2028.54,217.65
2037.4,227.07
2040.4,218.03
2054.43,213.57
2050.84,209.23
2081.25,214.37
2021.14,213.03
2019.48,207.45
2031.92,222.5
2018.1,215.59
1950.37,212.94
1892.2,249.37
1822.54,306.44
1757.69,335.05
1673.21,377.99
1595.25,406.32
1492.15,452.94
1397.93,500.3
1280.94,603.54
1161.88,634.7
1036.44,779.45
919.1,801.35
790.17,897.67
662.25,904.46
538.26,870.64
434.07,865.5
337.72,815.45
248.89,749.84
180.55,707.41
125.95,698.38
81.61,687.08
52.72,671.59
31.07,630.08
14.9,592.12
2.71,579.14
0,583.88
0,623.02
0,647.41
0,595.64
0,517.17
0,423.32
0,392.58
0,345.53
0,313.92
0,284.67
0,274.14
0,266.32
0,265.15
0,274.71
0,288.23
0,302.38
0,317.37
0,332.03
0,329.09
0,316.74
0,308.77
0,339.12
0,384.37
0,397.2
0,401.9
0,424.32
0,436.4
0,437.1
0,447.28
0,472.6
0.45,479.07
23.08,483.45
43.79,486.83
67.19,482.14
98.51,464.29
142.31,437.64
203.2,418.56
264.26,391.78
340.01,367.76
452.79,330.77
554.18,290.61
685.64,260.01
826.11,229.88
963.73,195.58
1059.24,166.93
1192.94,152.88
1294.33,149.8
1408.63,143.59
1519.91,146.63
1615.47,168.85
1707.9,184.72
1794.95,201.29
1883.87,221.77
1952.24,239.77
2020.83,239
2043.95,261.82
2090.22,282.43
2100.08,327.5
2078.71,345.9
2058.43,384.75
1987.67,423.53
1917.5,446.54
1888.53,458.74
1856.04,519.82
1737.03,601.65
1666.45,718.54
1602.37,776.72
1503.18,798.3
1389.37,880.77
1318.82,902.29
1216.43,983.46
1131.03,1054.76
1069.61,1116
1028.18,1145.85
1047.91,1187.05
1055.02,1200.16
1021.92,1157.89
942.3,1206.52
882.04,1194.11
823.64,1222.04
719.37,1262.3
634.2,1223.45
558.35,1170.44
467.07,1175.82
422.23,1181.96
360.65,1262.72
296.67,1253.29
250.7,1262.87
193,1245.68
142.32,1218.64
107.5,1254.04
73.15,1213.17
52.91,1232.99
28.56,1359.99
10.37,1411.92
1.83,1409.78
0,1387.4
0,1361.24
0,1332.73
0,1276.69
0,1256.04
0,1285.59
